actualEventTimestamp,eventName
"2021-03-23T05:26:43.833771700Z",INITIALIZE_SCENARIO
"2021-03-23T05:26:48.3296318Z","ProductPriceChangedIntegrationEvent"
"2021-03-23T05:26:48.8795854Z","ProductPriceChangedIntegrationEvent"
"2021-03-23T05:26:48.088932300Z",EXECUTE_SCENARIO
"2021-03-23T05:26:48.9643193Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.127916500Z",EXECUTE_SCENARIO
"2021-03-23T05:26:48.9991698Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.167548300Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.0408231Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.198730900Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.0700336Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.226857200Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.1200872Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.270692800Z",EXECUTE_SCENARIO
"2021-03-23T05:26:48.9937258Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.1401619Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.298887500Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.1685706Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.335586300Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.0459816Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:49.2092356Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.369398300Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.2429364Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:48.402819700Z",EXECUTE_SCENARIO
"2021-03-23T05:26:49.2701523Z","UserCheckoutAcceptedIntegrationEvent"
"2021-03-23T05:26:49.2572479Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.2889746Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:49.3867266Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.4067725Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:49.5070816Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.5257082Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:49.6151706Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:49.7088024Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.728787Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:49.9507746Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:49.9664588Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:50.0880352Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:50.1075193Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:50.2283964Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:50.2530117Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:50.3762235Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:50.3916278Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:50.5197796Z","OrderStartedIntegrationEvent"
"2021-03-23T05:26:50.5413405Z","OrderStatusChangedToSubmittedIntegrationEvent"
"2021-03-23T05:26:50.7009805Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:51.1187853Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:51.4578898Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:51.8597648Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:26:52.2233204Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:53.1668265Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:53.7013088Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:54.4687325Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:55.1105156Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:55.8714946Z","OrderStatusChangedToAwaitingValidationIntegrationEvent"
"2021-03-23T05:26:56.3360845Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:26:57.7777792Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:26:58.9572081Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:00.9038732Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:02.7974796Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:03.7862125Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:04.7834637Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:05.8176743Z","OrderStatusChangedToPaidIntegrationEvent"
"2021-03-23T05:27:06.6785116Z","OrderStatusChangedToPaidIntegrationEvent"
